Date,Open,High,Low,Close,Volume,Adj Close,return,vol_10,vol_20,rsi_14,macd,bb_pband,bb_width,atr_14,vix_close,vix_zscore,hmm_state,regime_desc
2008-05-20,5157.0,5160.049805,5072.399902,5104.950195,0,5104.950195,-0.010280086049309977,0.1996919520389337,0.19504516576278316,55.55956387530025,49.27853071749087,0.5496797102385239,5.977653221122976,106.54741191916482,24.989999771118164,-1.4859353395177017,1,Strong Bull
2008-05-21,5105.700195,5135.549805,5048.700195,5117.649902,0,5117.649902,0.0024846347138435775,0.19596500967603822,0.18772072176986526,56.31855311375383,48.926773473869616,0.5789702325877345,5.912138052636328,105.14042606779584,27.86000061035156,-0.8018144256753222,1,Strong Bull
2008-05-22,5117.0,5118.899902,5010.700195,5025.450195,0,5025.450195,-0.01818028918455406,0.21524829742052495,0.1992395997678305,49.68423305756026,40.738647741985005,0.2793571983443544,5.98265530006312,105.35894613438184,34.86000061035156,0.818524419889859,1,Strong Bull
2008-05-23,5026.549805,5059.049805,4940.700195,4946.549805,0,4946.549805,-0.015824716510957345,0.22252551306182547,0.20618010276454593,44.81861863987929,27.56514321994473,0.06241838602770069,6.390928117881748,106.28685069621166,34.029998779296875,0.6368942644308238,1,Strong Bull
2008-05-26,4953.600098,4953.600098,4858.0,4875.049805,0,4875.049805,-0.014560003658040657,0.2128254688255454,0.21160158459463985,40.90887558070132,11.226185053446898,-0.06414211536254824,7.239254853789275,105.52351121791082,33.0099983215332,0.41257367247294835,1,Strong Bull
2008-05-27,4877.149902,4932.0,4846.200195,4859.799805,0,4859.799805,-0.0031330761307382577,0.2078590050301102,0.19272671286231205,40.10527592090238,-2.9194509465551164,-0.007068800987222247,8.177352215110007,104.11467505948859,28.59000015258789,-0.6027008783203343,1,Strong Bull
2008-05-28,4862.700195,4926.899902,4835.649902,4918.350098,0,4918.350098,0.011975883651094168,0.2152626215903978,0.19928424052756158,44.60452852801349,-9.298265454288412,0.17064569020529152,8.584952498077525,103.19576969809656,32.630001068115234,0.34159754200732334,1,Strong Bull
2008-05-29,4926.299805,4957.399902,4801.899902,4835.299805,0,4835.299805,-0.017029994106464146,0.21854142021337752,0.18786988509352512,40.01307193503739,-20.815043607592088,0.04595548747402682,9.089827725768137,106.93178614823252,28.07999992370605,-0.6986448590471122,1,Strong Bull
2008-05-30,4844.049805,4908.850098,4833.450195,4870.100098,0,4870.100098,0.0071713566656031015,0.18532230902472815,0.19147323529863788,42.67585350143311,-26.824860170919237,0.16095183265558782,9.300072327370607,104.67950878050159,26.68000030517578,-0.9848267647968351,1,Strong Bull
2008-06-02,4869.25,4908.799805,4713.0,4739.600098,0,4739.600098,-0.02716172625007658,0.19957950045689224,0.20115387059995285,36.1885730551063,-41.63796590947004,-0.0355584365690652,9.87412605209431,111.1881013676086,29.489999771118164,-0.32631355454030364,1,Strong Bull
2008-06-03,4739.299805,4739.299805,4634.0,4715.899902,0,4715.899902,-0.005013007378270741,0.19998100934329632,0.2010172218636526,35.143722149720574,-54.65978272560551,-0.005967157665403147,10.496936994126427,110.78895826992225,28.489999771118164,-0.5350717230624107,1,Strong Bull
2008-06-04,4718.700195,4731.5,4564.5,4585.600098,0,4585.600098,-0.028018777236062765,0.21366966922398026,0.2169332680239417,30.013098020479163,-74.63344371003586,-0.10812402817058359,12.181193609100625,114.8040326792135,29.81999969482422,-0.19554784425258886,1,Strong Bull
2008-06-05,4586.950195,4690.600098,4536.25,4676.950195,0,4676.950195,0.01972524974383661,0.2580179619439817,0.2348467352078124,36.96140361539192,-82.14461259857853,0.09525316194888399,12.65953685822919,117.62875163069825,30.31999969482422,-0.052667385487964964,1,Strong Bull
2008-06-09,4626.450195,4626.450195,4411.600098,4500.950195,0,4500.950195,-0.038357700836044506,0.3004460484945642,0.26311756552103877,30.648131820752667,-101.13319662693903,-0.06258647286057485,14.492348128461499,128.18027629993412,32.43000030517578,0.4752756896106815,1,Strong Bull
2008-06-10,4522.0,4522.549805,4369.799805,4449.799805,0,4449.799805,-0.011429421405031498,0.2993613737428886,0.2590448291433545,29.092835829596183,-118.9381503058321,-0.025924206919288817,16.54355942678943,129.93525656422455,30.229999542236328,-0.046894049394052166,1,Strong Bull
2008-06-11,4469.649902,4541.049805,4468.049805,4523.600098,0,4523.600098,0.016449051153470774,0.3253513201012705,0.26778070314799884,34.27524657536425,-125.6452769624475,0.11691260939156284,17.537646311600906,127.17202395249421,29.63999938964844,-0.15919395584621135,1,Strong Bull
2008-06-12,4524.399902,4550.0,4392.0,4539.350098,0,4539.350098,0.0034756929068257697,0.3139444817120566,0.26850214409473516,35.361030220944286,-128.2118830100817,0.17341769239016583,18.335530367018546,129.37402224160178,29.229999542236328,-0.22956760885546054,1,Strong Bull
2008-06-13,4539.5,4563.350098,4491.350098,4517.100098,0,4517.100098,-0.0049136348757160015,0.31007498939762357,0.2624029574061651,34.49408218946775,-130.53658138916853,0.18435447338196284,18.90478733597425,125.27587779577308,30.700000762939453,0.1675468497356436,1,Strong Bull
2008-06-16,4536.299805,4617.700195,4536.299805,4572.5,0,4572.5,0.012189884572578065,0.31734791950694136,0.2531835131398623,38.53482267339583,-126.45096450225083,0.2686043408745574,18.46691854578768,123.51332202464646,29.020000457763672,-0.24594297730241668,1,Strong Bull
2008-06-17,4572.5,4664.049805,4561.75,4653.0,0,4653.0,0.017452071579627682,0.31426227229480724,0.261813767893223,43.94562314364791,-115.38729355663509,0.3792655990750818,17.14925576230193,121.99807080860025,28.959999084472656,-0.23369923266561718,1,Strong Bull
2008-06-18,4652.799805,4679.75,4569.899902,4582.399902,0,4582.399902,-0.015289315904550075,0.32131854011511807,0.2637127654222011,40.57231312842127,-111.03613703164592,0.31175407091199586,16.059431194497503,121.1303584651288,31.81999969482422,0.5607022558448266,1,Strong Bull
2008-06-19,4582.549805,4585.700195,4488.950195,4504.25,0,4504.25,-0.01720146144428886,0.30159745030514873,0.2651611228589246,37.170956407114296,-112.59592239774702,0.22433045250205566,14.706919692178994,119.38890428904816,32.31999969482422,0.7464731426992249,1,Strong Bull
2008-06-20,4504.200195,4532.0,4333.600098,4347.549805,0,4347.549805,-0.03540897232379037,0.31801726474125,0.28185395108778116,31.473364196028925,-125.03513250055857,0.041816423026781575,14.663667167823144,125.03254698268758,28.190000534057617,-0.3948487848398269,1,Strong Bull
2008-06-23,4351.149902,4351.149902,4225.5,4266.399902,0,4266.399902,-0.018842065855812544,0.27711756597394727,0.2832720741383142,28.994743615663594,-139.8295471224128,-0.005699506406447645,15.398396201146925,125.07664376963848,31.1200008392334,0.47484876028433054,1,Strong Bull
2008-06-24,4271.049805,4305.899902,4156.100098,4191.100098,0,4191.100098,-0.017807104639131512,0.2828246265250377,0.28459265611807744,26.879417816116828,-155.83393556834017,-0.021985336193698565,16.743646680032185,126.84258378609289,34.04999923706055,1.3097253179285797,1,Strong Bull
2008-06-25,4189.600098,4264.549805,4093.199951,4252.649902,0,4252.649902,0.014579042295003066,0.2787976092510729,0.2950000019659435,31.29190457802953,-161.68714516479668,0.10433016952008418,17.14440171459919,130.02167451565765,36.459999084472656,2.0763634578372536,1,Strong Bull
2008-06-26,4252.600098,4324.75,4230.0,4315.850098,0,4315.850098,0.014752020106773142,0.2950043956216733,0.29748177466489956,35.58997639050665,-159.38879351341893,0.2070080505912628,16.278136643629455,127.50226919311068,32.849998474121094,0.9706029311357359,1,Strong Bull
2008-06-27,4315.299805,4315.299805,4119.200195,4136.649902,0,4136.649902,-0.042408057255956,0.34952886198617783,0.3219878703385497,29.882022189754352,-170.0668664758632,0.025177044228132873,16.8788214779732,132.44138589360276,32.20000076293945,0.7951414932099612,2,Neutral
2008-06-30,4136.25,4163.0,4021.699951,4040.550049,0,4040.550049,-0.0235054243927963,0.3351490365709564,0.321478569672115,27.348871011655262,-184.16087924728345,-0.034018983036313274,17.443178558599154,133.0741475440597,30.959999084472656,0.41771529950655056,2,Neutral
2008-07-01,4039.75,4075.399902,3878.199951,3896.75,0,3896.75,-0.03623796106093852,0.3087212923875414,0.3296634267275129,24.0618589615722,-204.57572644714492,-0.09232873691287685,19.764860005256484,137.6545620766269,31.420000076293945,0.5345518492565893,2,Neutral
2008-07-02,3895.300049,4107.149902,3848.25,4093.350098,0,4093.350098,0.049220857258082264,0.45718966149920465,0.39065524161668097,35.47933496999447,-202.5557188408011,0.16726165065721268,19.817194894729973,146.31494349972496,35.380001068115234,1.634810349618147,2,Neutral
