Price,,,,,
Ticker,^INDIAVIX,^INDIAVIX,^INDIAVIX,^INDIAVIX,^INDIAVIX
Date,Close,High,Low,Open,Volume
03-03-08,35.75999832,41.54000092,28.48999977,28.48999977,0
04-03-08,38.08000183,51.06999969,30.59000015,38.08000183,0
05-03-08,35.50999832,38.75999832,27.95000076,38.08000183,0
07-03-08,35.20000076,39.34000015,27.04999924,36.95000076,0
10-03-08,32.58000183,47.95000076,25.32999992,25.32999992,0
11-03-08,32.68999863,37.54000092,29.75,30.71999931,0
12-03-08,32.36000061,34.06000137,24.05999947,31.19000053,0
13-03-08,34.15000153,37.83000183,25.28000069,37.83000183,0
14-03-08,31.11000061,37.81999969,29.06999969,36.31999969,0
17-03-08,33.43000031,38.54999924,28.22999954,33.45000076,0
18-03-08,37.84000015,49.02999878,31.78000069,31.78000069,0
19-03-08,35.49000168,41.84000015,30.04000092,37.84000015,0
24-03-08,35.20999908,39.04000092,29.62999916,35.49000168,0
25-03-08,33.29999924,36.02000046,30.45999908,35.20999908,0
26-03-08,37.18000031,45.81000137,28.07999992,33.29999924,0
27-03-08,37.27999878,39.40999985,27.39999962,37.18000031,0
28-03-08,33.06999969,46.15000153,28.43000031,46.15000153,0
31-03-08,35.13999939,37.91999817,28.56999969,33.06999969,0
01-04-08,35.09999847,38.38000107,28.59000015,31.23999977,0
02-04-08,33.61999893,38.40999985,27.62999916,35.09999847,0
03-04-08,36.68000031,37.22999954,30.28000069,33.61999893,0
04-04-08,36.93000031,37.22999954,30.32999992,36.68000031,0
07-04-08,30.98999977,36.93000031,22.48999977,36.93000031,0
08-04-08,31.39999962,33.70999908,26.77000046,30.98999977,0
09-04-08,38.24000168,39.36000061,28.37000084,31.39999962,0
10-04-08,30.52000046,38.24000168,28.45000076,38.24000168,0
11-04-08,33.83000183,34.75999832,21.34000015,30.52000046,0
15-04-08,30.22999954,42.41999817,23.96999931,23.96999931,0
16-04-08,27.94000053,31.87000084,24.01000023,30.22999954,0
17-04-08,27.10000038,27.10000038,27.10000038,27.10000038,0
21-04-08,27.10000038,27.10000038,27.10000038,27.10000038,0
22-04-08,39.61999893,39.61999893,39.61999893,39.61999893,0
23-04-08,32.36999893,32.36999893,32.36999893,32.36999893,0
24-04-08,28.72999954,28.72999954,28.72999954,28.72999954,0
25-04-08,27.39999962,27.39999962,27.39999962,27.39999962,0
28-04-08,27.62000084,27.62000084,27.62000084,27.62000084,0
29-04-08,26.15999985,27.62000084,25.56999969,27.62000084,0
30-04-08,26.15999985,26.15999985,22.48999977,26.15999985,0
02-05-08,24.20999908,26.02000046,22.43000031,25.15999985,0
05-05-08,25.06999969,26.90999985,19.95000076,24.20999908,0
06-05-08,24.90999985,28.5,23.05999947,25.06999969,0
07-05-08,25.05999947,30.18000031,22.20000076,24.90999985,0
08-05-08,25.94000053,27.25,23.63999939,25.05999947,0
09-05-08,27.53000069,30.80999947,23.37999916,25.94000053,0
12-05-08,31.5,32.11000061,19.05999947,27.53000069,0
13-05-08,33.43000031,33.52999878,26.09000015,31.5,0
14-05-08,29.21999931,33.43000031,24.79000092,33.43000031,0
15-05-08,29.02000046,30.07999992,15.85000038,29.21999931,0
16-05-08,23.25,30.75,22.37999916,29.02000046,0
20-05-08,24.98999977,28.67000008,11.73999977,28.67000008,0
21-05-08,27.86000061,30.53000069,8.739999771,30.53000069,0
22-05-08,34.86000061,35.79000092,24.12999916,27.86000061,0
23-05-08,34.02999878,40.00999832,24.72999954,34.86000061,0
26-05-08,33.00999832,34.02999878,25.06999969,34.02999878,0
27-05-08,28.59000015,34.15000153,25.60000038,33.00999832,0
28-05-08,32.63000107,41.61999893,23.55999947,28.59000015,0
29-05-08,28.07999992,38.43999863,25.67000008,32.63000107,0
30-05-08,26.68000031,35.47000122,26.59000015,28.07999992,0
02-06-08,29.48999977,29.48999977,25.02000046,26.68000031,0
03-06-08,28.48999977,42.68000031,27.10000038,42.68000031,0
04-06-08,29.81999969,32.66999817,26.17000008,28.48999977,0
05-06-08,30.31999969,38.79000092,25.30999947,29.81999969,0
09-06-08,32.43000031,35.29000092,19.36000061,32.86999893,0
10-06-08,30.22999954,33.22999954,25.29000092,25.98999977,0
11-06-08,29.63999939,39.11000061,19.53000069,19.53000069,0
12-06-08,29.22999954,37.36000061,27.87000084,29.63999939,0
13-06-08,30.70000076,41.18000031,16.71999931,31.40999985,0
16-06-08,29.02000046,38.63999939,14.47000027,14.47000027,0
17-06-08,28.95999908,37.79999924,13.77000046,30.70000076,0
18-06-08,31.81999969,34.43999863,22.28000069,24.76000023,0
19-06-08,32.31999969,44.29999924,31.61000061,31.81999969,0
20-06-08,28.19000053,57.84999847,22.45999908,32.31999969,0
23-06-08,31.12000084,48.20000076,28.19000053,28.19000053,0
24-06-08,34.04999924,67.51999664,29.95000076,31.12000084,0
25-06-08,36.45999908,53.15999985,33.13000107,34.04999924,0
26-06-08,32.84999847,47.70999908,31.70999908,36.45999908,0
27-06-08,32.20000076,62.02999878,31.64999962,32.84999847,0
30-06-08,30.95999908,64.38999939,30.81999969,32.20000076,0
01-07-08,31.42000008,56.63999939,30.95999908,30.95999908,0
02-07-08,35.38000107,56.20999908,31.42000008,31.42000008,0
03-07-08,36.25999832,59.81000137,33.81999969,35.38000107,0
04-07-08,35.66999817,57.75999832,35.04000092,36.25999832,0
07-07-08,37.29000092,37.31000137,32.09000015,35.66999817,0
08-07-08,36.04000092,49.15999985,32.77000046,37.29000092,0
09-07-08,34.27000046,77.68000031,30.27000046,36.04000092,0
10-07-08,32.16999817,40.49000168,28.69000053,34.27000046,0
11-07-08,33.00999832,36.61000061,29.82999992,32.16999817,0
14-07-08,31.51000023,55.70999908,30.61000061,38.47999954,0
15-07-08,49.77000046,49.79999924,24.35000038,31.51000023,0
16-07-08,31.10000038,54.88000107,30.65999985,40.00999832,0
17-07-08,35.34000015,53.59000015,25.42000008,34.93000031,0
18-07-08,36.25,45.50999832,25.34000015,35.34000015,0
21-07-08,40.47999954,49.81000137,31.98999977,36.61999893,0
22-07-08,35.54999924,48.84000015,34.04999924,35.77000046,0
23-07-08,37.77000046,37.81999969,10.15999985,35.54999924,0
24-07-08,40.29000092,51.65000153,29.34000015,39.83000183,0
25-07-08,42.29000092,52.00999832,29.19000053,40.29000092,0
28-07-08,54.06000137,55.20000076,33.54000092,42.29000092,0
29-07-08,61.72999954,63.22000122,32.29000092,54.06000137,0
30-07-08,51.72000122,61.72999954,34.68999863,61.72999954,0
31-07-08,39.06000137,53.99000168,37.90000153,41.68999863,0
01-08-08,38.49000168,41.93000031,35.09999847,40.25999832,0
04-08-08,40.24000168,44.93000031,31.72999954,38.49000168,0
05-08-08,35.65999985,40.61999893,33.15999985,40.24000168,0
06-08-08,34.91999817,42.06999969,31.67000008,35.65999985,0
07-08-08,35.66999817,45.52999878,27.28000069,34.91999817,0
08-08-08,35.13999939,41.59999847,29.82999992,29.82999992,0
11-08-08,31.37000084,37.65000153,21.62000084,21.62000084,0
12-08-08,33.88999939,42.50999832,27.18000031,27.18000031,0
13-08-08,34.75999832,48.02000046,18.95999908,19.51000023,0
14-08-08,35.24000168,47.65999985,27.56999969,31.92000008,0
19-08-08,34.91999817,61.99000168,27.04999924,29.54999924,0
20-08-08,33.95000076,37.02999878,11.10000038,36.11000061,0
21-08-08,36.54999924,73.22000122,32.43999863,33.95000076,0
22-08-08,35.75999832,79.76999664,32.56000137,36.54999924,0
25-08-08,45.11000061,45.56999969,33.34999847,35.75999832,0
26-08-08,33.90000153,45.25999832,28.55999947,45.11000061,0
27-08-08,32.79999924,76.51999664,31.76000023,33.90000153,0
28-08-08,33.31000137,73.29000092,28.38999939,32.79999924,0
29-08-08,31.67000008,33.31000137,28.20000076,28.20000076,0
01-09-08,31.28000069,49.70000076,29.46999931,49.70000076,0
02-09-08,30.45000076,42.50999832,24.70000076,42.50999832,0
04-09-08,31.22999954,32.75999832,23.59000015,23.59000015,0
05-09-08,32.65000153,57.88999939,28.63999939,30.70999908,0
08-09-08,30.77000046,56.18999863,28.86000061,38.27000046,0
09-09-08,30.36000061,40.43999863,27.43000031,40.43999863,0
10-09-08,32.11999893,33.79000092,26.34000015,30.09000015,0
11-09-08,32.72999954,37.56000137,28.39999962,30.29999924,0
12-09-08,30.43000031,58.11000061,27.51000023,32.72999954,0
15-09-08,33.11999893,63.31999969,32.20000076,39.75999832,0
16-09-08,34.90000153,53.61999893,33.11999893,53.61999893,0
17-09-08,33.99000168,66.08999634,30.61000061,33.27000046,0
18-09-08,39.56000137,68.33000183,29.87999916,54.29000092,0
19-09-08,39.11999893,50.08000183,38.08000183,39.56000137,0
22-09-08,37.97000122,49.68000031,36.08000183,39.11999893,0
23-09-08,38.74000168,53.83000183,36.58000183,42.43999863,0
24-09-08,35.61000061,49.97000122,34.43000031,41.38000107,0
25-09-08,34.09000015,40.68000031,32.20999908,36.13000107,0
26-09-08,33.95999908,35.27000046,33.59999847,33.97999954,0
29-09-08,34.90000153,37.84000015,32.25999832,37.84000015,0
30-09-08,37.18999863,51.49000168,34.90000153,51.49000168,0
01-10-08,35.54000092,37.18999863,34.97999954,37.18999863,0
03-10-08,35.09999847,40.22000122,33.75999832,40.22000122,0
06-10-08,33.75,44.79000092,32.38000107,44.11000061,0
07-10-08,39.29999924,48.08000183,33.75,48.08000183,0
08-10-08,39.33000183,52.68999863,30.22999954,30.22999954,0
10-10-08,39.33000183,39.33000183,39.33000183,39.33000183,0
13-10-08,46.49000168,57.77999878,40.81999969,40.81999969,0
14-10-08,46.49000168,46.49000168,46.49000168,46.49000168,0
15-10-08,46.06999969,46.47999954,36.68000031,36.68000031,0
16-10-08,47.81000137,54.77999878,32.02999878,32.02999878,0
17-10-08,46.72000122,50.09000015,30.38999939,30.38999939,0
20-10-08,57.13000107,74.80000305,39.04999924,46.72000122,0
21-10-08,56,57.79000092,47.24000168,47.24000168,0
22-10-08,54.75,74.12999725,30.69000053,56,0
23-10-08,54.97000122,66.70999908,31.46999931,54.75,0
24-10-08,45.5,82.58999634,45.5,54.97000122,0
27-10-08,67.5,90.01999664,56.11999893,87.05000305,0
29-10-08,68.34999847,79.94999695,63.06999969,63.06999969,0
31-10-08,68.34999847,68.34999847,68.34999847,68.34999847,0
03-11-08,67.83999634,88.68000031,60.15000153,88.68000031,0
04-11-08,62.15000153,84.51000214,58.65000153,58.65000153,0
05-11-08,66.75,68.80000305,47.15999985,47.15999985,0
06-11-08,62.15000153,62.15000153,62.15000153,62.15000153,0
07-11-08,67.22000122,72.37000275,62.75,69.26000214,0
10-11-08,63.75999832,67.05000305,57.90000153,59.08000183,0
11-11-08,66.98999786,66.98999786,62.40000153,62.40000153,0
12-11-08,70.62000275,74.36000061,57.70000076,62.97000122,0
14-11-08,70.08000183,92.52999878,55.22999954,65.54000092,0
17-11-08,85.12999725,91.77999878,58.86999893,61.43000031,0
18-11-08,64.66000366,77.33000183,63.45000076,63.56999969,0
19-11-08,60.84000015,79.40000153,54.27999878,59.31000137,0
20-11-08,65.55000305,70.81999969,60.84000015,60.84000015,0
21-11-08,64.45999908,90.12000275,61.31999969,65.55000305,0
24-11-08,62.81000137,62.81000137,62.81000137,62.81000137,0
25-11-08,59.56000137,62.59000015,59.15000153,59.15000153,0
26-11-08,56.20999908,78.59999847,55.47999954,59.56000137,0
28-11-08,57.43999863,62.54999924,52.99000168,56.20999908,0
01-12-08,55.25999832,57.43999863,50.52999878,57.43999863,0
02-12-08,54.29999924,55.25999832,51.86999893,55.25999832,0
03-12-08,54.65999985,57.02999878,51.15999985,54.29999924,0
04-12-08,51.84000015,55.22000122,48.45999908,48.45999908,0
05-12-08,52.04999924,56.11000061,47.43999863,51.84000015,0
08-12-08,50.27999878,56.09000015,44.90999985,52.04999924,0
10-12-08,50.36000061,53.56000137,47.24000168,47.24000168,0
11-12-08,51.75,51.95999908,44.43000031,45.63000107,0
12-12-08,49.43000031,65.16000366,48.13999939,51.75,0
15-12-08,48.09999847,52.65999985,47.84999847,47.84999847,0
16-12-08,44.90999985,49.22000122,44.90999985,48.09999847,0
17-12-08,44.90999985,63.02000046,44.90999985,44.90999985,0
18-12-08,45.49000168,62.91999817,41.43999863,49.97000122,0
19-12-08,44.90999985,49.22000122,44.90999985,48.09999847,0
22-12-08,41.45999908,51.99000168,36.97999954,38.49000168,0
23-12-08,45.70000076,60.59999847,41.45999908,41.45999908,0
24-12-08,41.79000092,53.50999832,41.75,45.70000076,0
26-12-08,45.15999985,46.52000046,41.49000168,41.79000092,0
29-12-08,43.88999939,46.40000153,43.79999924,45.15999985,0
30-12-08,42.50999832,44.95000076,42.36999893,42.86000061,0
31-12-08,43.09000015,44.11999893,42.50999832,42.50999832,0
02-01-09,40.66999817,42.00999832,39.43999863,39.43999863,0
05-01-09,38.59999847,41.75,37.09000015,37.34999847,0
06-01-09,38.72999954,40.79000092,35.61000061,39.18000031,0
07-01-09,44.36000061,46.65999985,32.70999908,39.27999878,0
09-01-09,47.81999969,49.68000031,40.84000015,40.84000015,0
12-01-09,47.81999969,47.81999969,47.81999969,47.81999969,0
13-01-09,53.47000122,54.00999832,42.68000031,44.70000076,0
14-01-09,53.47000122,53.47000122,53.47000122,53.47000122,0
15-01-09,45.16999817,48.25999832,44.41999817,44.41999817,0
16-01-09,44.29999924,45.02999878,42.61000061,42.61000061,0
19-01-09,44.45999908,45.70999908,44.29000092,45.70999908,0
20-01-09,45,45.81000137,44.88000107,45.52000046,0
21-01-09,45.40999985,46.20000076,43.34000015,45,0
22-01-09,45.54999924,53.09000015,38.13999939,46.54000092,0
23-01-09,34.00999832,47.47999954,30.95000076,45.54999924,0
27-01-09,42.86000061,44.95000076,41.81000137,44.95000076,0
28-01-09,40.75999832,42.86000061,40.65000153,42.86000061,0
29-01-09,43.11000061,45.61000061,40.33000183,40.75999832,0
30-01-09,42.09999847,47.24000168,41.66999817,43.11000061,0
